name,sharpe,t_stat_nw,annual_return,annual_vol,max_drawdown,chosen
equal_weight,0.01,0.03,-0.0024,0.0799,-0.3244,
inverse_vol,-0.008,-0.02,-0.0038,0.0799,-0.3212,<--
risk_parity,-0.01,-0.03,-0.004,0.0799,-0.3225,
min_variance,-0.106,-0.35,-0.0115,0.0794,-0.3309,
sharpe_tilt,0.006,0.02,-0.0028,0.0809,-0.2505,
gated/risk_parity,-0.09,-0.29,-0.0103,0.0795,-0.2731,
  sleeve: trend,0.484,1.52,0.044,0.0989,-0.217,
  sleeve: xs_momentum,0.388,1.29,0.0347,0.1009,-0.1575,
  sleeve: reversal,-0.256,-0.95,-0.0298,0.0991,-0.2677,
  sleeve: carry,-0.357,-1.18,-0.0399,0.1001,-0.4339,
  sleeve: value,-0.381,-1.17,-0.0469,0.1101,-0.508,
